gwb_code,year,a_inw,a_man,a_vrouw,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,bev_dich,a_lan_ha
WK036369,2020,11160,5325,5830,5935,3260.0,1240.0,1435.0,7387,151
WK036370,2020,14780,7230,7550,6765,3020.0,1345.0,2405.0,8922,166
WK036371,2020,4760,2505,2255,2925,1740.0,730.0,455.0,1903,250
WK036372,2020,300,200,100,210,150.0,50.0,10.0,435,68
WK036373,2020,2380,1210,1170,990,315.0,285.0,395.0,96,2477
WK036374,2020,3455,1830,1630,1675,860.0,255.0,555.0,4230,82
WK036375,2020,6160,3020,3145,3265,1665.0,745.0,860.0,24300,25
WK036376,2020,9480,4910,4570,4550,2280.0,805.0,1460.0,9840,96
WK036377,2020,18025,9140,8885,8770,4520.0,1465.0,2780.0,8018,225
WK036378,2020,16535,8320,8215,7035,3010.0,1225.0,2795.0,12521,132
WK036379,2020,2450,1210,1245,1030,320.0,300.0,410.0,1121,219
WK036380,2020,1215,680,540,410,155.0,115.0,135.0,228,533
WK036381,2020,16680,8215,8465,8725,4640.0,1770.0,2315.0,10584,158
WK036382,2020,15710,7705,8005,7055,3165.0,1330.0,2560.0,15219,103
WK036383,2020,6225,3205,3020,2775,1360.0,510.0,905.0,10409,60
WK036384,2020,14470,7115,7355,5980,1950.0,1375.0,2655.0,9590,151
WK036385,2020,8140,4075,4065,3790,1710.0,775.0,1305.0,7331,111
WK036386,2020,14145,6880,7265,7405,4170.0,1440.0,1790.0,9727,145
WK036387,2020,11350,5995,5355,7165,4695.0,1435.0,1030.0,8033,141
WK036388,2020,14035,6920,7115,6250,2120.0,1760.0,2370.0,3007,467
WK036389,2020,10810,5245,5570,5720,3275.0,990.0,1455.0,8653,125
WK036390,2020,13615,6415,7205,7795,4375.0,1770.0,1650.0,4784,285
WK036391,2020,8100,3825,4275,4595,2680.0,1030.0,885.0,5285,153
WK036392,2020,745,420,320,615,575.0,25.0,15.0,149,498
WK036393,2020,24935,12605,12335,14380,9095.0,1715.0,3570.0,8236,303
WK036394,2020,29770,14975,14795,15700,8615.0,2285.0,4795.0,8039,370
WK036395,2020,3035,1580,1450,1835,1065.0,415.0,360.0,1388,219
